Participante,Modalidad,Edad,Género,Grupo,Validez,Creencia,ValidezxCreencia,Silogismo,Aceptación,Correctas,indice_creencia_norm
1,Resolución Individual,18.0,M,0,V,C,VC,1,1,1,0.25
1,Resolución Individual,18.0,M,0,V,I,VI,2,1,1,0.25
1,Resolución Individual,18.0,M,0,I,C,IC,3,0,1,0.25
1,Resolución Individual,18.0,M,0,I,I,II,4,0,1,0.25
1,Resolución Individual,18.0,M,0,V,C,VC,5,1,1,0.25
1,Resolución Individual,18.0,M,0,V,I,VI,6,1,1,0.25
1,Resolución Individual,18.0,M,0,I,C,IC,7,1,0,0.25
1,Resolución Individual,18.0,M,0,I,I,II,8,0,1,0.25
2,Resolución Individual,23.0,F,0,V,C,VC,1,1,1,0.0
2,Resolución Individual,23.0,F,0,V,I,VI,2,1,1,0.0
2,Resolución Individual,23.0,F,0,I,C,IC,3,0,1,0.0
2,Resolución Individual,23.0,F,0,I,I,II,4,0,1,0.0
2,Resolución Individual,23.0,F,0,V,C,VC,5,1,1,0.0
2,Resolución Individual,23.0,F,0,V,I,VI,6,1,1,0.0
2,Resolución Individual,23.0,F,0,I,C,IC,7,1,0,0.0
2,Resolución Individual,23.0,F,0,I,I,II,8,1,0,0.0
3,Resolución Individual,20.0,F,0,V,C,VC,1,1,1,0.5
3,Resolución Individual,20.0,F,0,V,I,VI,2,0,0,0.5
3,Resolución Individual,20.0,F,0,I,C,IC,3,0,1,0.5
3,Resolución Individual,20.0,F,0,I,I,II,4,0,1,0.5
3,Resolución Individual,20.0,F,0,V,C,VC,5,0,0,0.5
3,Resolución Individual,20.0,F,0,V,I,VI,6,0,0,0.5
3,Resolución Individual,20.0,F,0,I,C,IC,7,1,0,0.5
3,Resolución Individual,20.0,F,0,I,I,II,8,0,1,0.5
4,Resolución Individual,25.0,F,0,V,C,VC,1,1,1,0.25
4,Resolución Individual,25.0,F,0,V,I,VI,2,1,1,0.25
4,Resolución Individual,25.0,F,0,I,C,IC,3,0,1,0.25
4,Resolución Individual,25.0,F,0,I,I,II,4,0,1,0.25
4,Resolución Individual,25.0,F,0,V,C,VC,5,1,1,0.25
4,Resolución Individual,25.0,F,0,V,I,VI,6,1,1,0.25
4,Resolución Individual,25.0,F,0,I,C,IC,7,1,0,0.25
4,Resolución Individual,25.0,F,0,I,I,II,8,0,1,0.25
5,Resolución Individual,20.0,F,0,V,C,VC,1,1,1,0.5
5,Resolución Individual,20.0,F,0,V,I,VI,2,0,0,0.5
5,Resolución Individual,20.0,F,0,I,C,IC,3,0,1,0.5
5,Resolución Individual,20.0,F,0,I,I,II,4,0,1,0.5
5,Resolución Individual,20.0,F,0,V,C,VC,5,1,1,0.5
5,Resolución Individual,20.0,F,0,V,I,VI,6,1,1,0.5
5,Resolución Individual,20.0,F,0,I,C,IC,7,1,0,0.5
5,Resolución Individual,20.0,F,0,I,I,II,8,0,1,0.5
6,Resolución Individual,23.31779661016949,F,0,V,C,VC,1,1,1,0.25
6,Resolución Individual,23.31779661016949,F,0,V,I,VI,2,1,1,0.25
6,Resolución Individual,23.31779661016949,F,0,I,C,IC,3,1,0,0.25
6,Resolución Individual,23.31779661016949,F,0,I,I,II,4,0,1,0.25
6,Resolución Individual,23.31779661016949,F,0,V,C,VC,5,1,1,0.25
6,Resolución Individual,23.31779661016949,F,0,V,I,VI,6,1,1,0.25
6,Resolución Individual,23.31779661016949,F,0,I,C,IC,7,0,1,0.25
6,Resolución Individual,23.31779661016949,F,0,I,I,II,8,0,1,0.25
7,Resolución Individual,24.0,F,0,V,C,VC,1,1,1,0.25
7,Resolución Individual,24.0,F,0,V,I,VI,2,0,0,0.25
7,Resolución Individual,24.0,F,0,I,C,IC,3,0,1,0.25
7,Resolución Individual,24.0,F,0,I,I,II,4,0,1,0.25
7,Resolución Individual,24.0,F,0,V,C,VC,5,1,1,0.25
7,Resolución Individual,24.0,F,0,V,I,VI,6,0,0,0.25
7,Resolución Individual,24.0,F,0,I,C,IC,7,0,1,0.25
7,Resolución Individual,24.0,F,0,I,I,II,8,1,0,0.25
8,Resolución Individual,27.0,F,0,V,C,VC,1,1,1,0.75
8,Resolución Individual,27.0,F,0,V,I,VI,2,0,0,0.75
8,Resolución Individual,27.0,F,0,I,C,IC,3,1,0,0.75
8,Resolución Individual,27.0,F,0,I,I,II,4,0,1,0.75
8,Resolución Individual,27.0,F,0,V,C,VC,5,1,1,0.75
8,Resolución Individual,27.0,F,0,V,I,VI,6,0,0,0.75
8,Resolución Individual,27.0,F,0,I,C,IC,7,0,1,0.75
8,Resolución Individual,27.0,F,0,I,I,II,8,0,1,0.75
9,Resolución Individual,19.0,F,0,V,C,VC,1,1,1,0.0
9,Resolución Individual,19.0,F,0,V,I,VI,2,1,1,0.0
9,Resolución Individual,19.0,F,0,I,C,IC,3,0,1,0.0
9,Resolución Individual,19.0,F,0,I,I,II,4,1,0,0.0
9,Resolución Individual,19.0,F,0,V,C,VC,5,1,1,0.0
9,Resolución Individual,19.0,F,0,V,I,VI,6,0,0,0.0
9,Resolución Individual,19.0,F,0,I,C,IC,7,1,0,0.0
9,Resolución Individual,19.0,F,0,I,I,II,8,1,0,0.0
10,Resolución Individual,32.0,F,0,V,C,VC,1,1,1,0.25
10,Resolución Individual,32.0,F,0,V,I,VI,2,1,1,0.25
10,Resolución Individual,32.0,F,0,I,C,IC,3,1,0,0.25
10,Resolución Individual,32.0,F,0,I,I,II,4,0,1,0.25
10,Resolución Individual,32.0,F,0,V,C,VC,5,1,1,0.25
10,Resolución Individual,32.0,F,0,V,I,VI,6,1,1,0.25
10,Resolución Individual,32.0,F,0,I,C,IC,7,0,1,0.25
10,Resolución Individual,32.0,F,0,I,I,II,8,0,1,0.25
11,Resolución Individual,23.0,M,0,V,C,VC,1,1,1,0.0
11,Resolución Individual,23.0,M,0,V,I,VI,2,1,1,0.0
11,Resolución Individual,23.0,M,0,I,C,IC,3,0,1,0.0
11,Resolución Individual,23.0,M,0,I,I,II,4,0,1,0.0
11,Resolución Individual,23.0,M,0,V,C,VC,5,1,1,0.0
11,Resolución Individual,23.0,M,0,V,I,VI,6,1,1,0.0
11,Resolución Individual,23.0,M,0,I,C,IC,7,0,1,0.0
11,Resolución Individual,23.0,M,0,I,I,II,8,0,1,0.0
12,Resolución Individual,22.0,M,0,V,C,VC,1,1,1,0.0
12,Resolución Individual,22.0,M,0,V,I,VI,2,1,1,0.0
12,Resolución Individual,22.0,M,0,I,C,IC,3,0,1,0.0
12,Resolución Individual,22.0,M,0,I,I,II,4,0,1,0.0
12,Resolución Individual,22.0,M,0,V,C,VC,5,1,1,0.0
12,Resolución Individual,22.0,M,0,V,I,VI,6,1,1,0.0
12,Resolución Individual,22.0,M,0,I,C,IC,7,0,1,0.0
12,Resolución Individual,22.0,M,0,I,I,II,8,0,1,0.0
13,Resolución Individual,19.0,O,0,V,C,VC,1,1,1,0.0
13,Resolución Individual,19.0,O,0,V,I,VI,2,1,1,0.0
13,Resolución Individual,19.0,O,0,I,C,IC,3,0,1,0.0
13,Resolución Individual,19.0,O,0,I,I,II,4,0,1,0.0
13,Resolución Individual,19.0,O,0,V,C,VC,5,1,1,0.0
13,Resolución Individual,19.0,O,0,V,I,VI,6,1,1,0.0
13,Resolución Individual,19.0,O,0,I,C,IC,7,1,0,0.0
13,Resolución Individual,19.0,O,0,I,I,II,8,1,0,0.0
14,Resolución Individual,36.0,F,0,V,C,VC,1,0,0,0.0
14,Resolución Individual,36.0,F,0,V,I,VI,2,0,0,0.0
14,Resolución Individual,36.0,F,0,I,C,IC,3,0,1,0.0
14,Resolución Individual,36.0,F,0,I,I,II,4,0,1,0.0
14,Resolución Individual,36.0,F,0,V,C,VC,5,1,1,0.0
14,Resolución Individual,36.0,F,0,V,I,VI,6,1,1,0.0
14,Resolución Individual,36.0,F,0,I,C,IC,7,0,1,0.0
14,Resolución Individual,36.0,F,0,I,I,II,8,0,1,0.0
15,Resolución Individual,19.0,F,0,V,C,VC,1,1,1,0.0
15,Resolución Individual,19.0,F,0,V,I,VI,2,1,1,0.0
15,Resolución Individual,19.0,F,0,I,C,IC,3,0,1,0.0
15,Resolución Individual,19.0,F,0,I,I,II,4,0,1,0.0
15,Resolución Individual,19.0,F,0,V,C,VC,5,1,1,0.0
15,Resolución Individual,19.0,F,0,V,I,VI,6,1,1,0.0
15,Resolución Individual,19.0,F,0,I,C,IC,7,0,1,0.0
15,Resolución Individual,19.0,F,0,I,I,II,8,0,1,0.0
16,Resolución Individual,47.0,F,0,V,C,VC,1,1,1,0.25
16,Resolución Individual,47.0,F,0,V,I,VI,2,0,0,0.25
16,Resolución Individual,47.0,F,0,I,C,IC,3,1,0,0.25
16,Resolución Individual,47.0,F,0,I,I,II,4,0,1,0.25
16,Resolución Individual,47.0,F,0,V,C,VC,5,1,1,0.25
16,Resolución Individual,47.0,F,0,V,I,VI,6,1,1,0.25
16,Resolución Individual,47.0,F,0,I,C,IC,7,0,1,0.25
16,Resolución Individual,47.0,F,0,I,I,II,8,1,0,0.25
17,Resolución Individual,57.0,F,0,V,C,VC,1,1,1,0.5
17,Resolución Individual,57.0,F,0,V,I,VI,2,0,0,0.5
17,Resolución Individual,57.0,F,0,I,C,IC,3,0,1,0.5
17,Resolución Individual,57.0,F,0,I,I,II,4,0,1,0.5
17,Resolución Individual,57.0,F,0,V,C,VC,5,1,1,0.5
17,Resolución Individual,57.0,F,0,V,I,VI,6,0,0,0.5
17,Resolución Individual,57.0,F,0,I,C,IC,7,0,1,0.5
17,Resolución Individual,57.0,F,0,I,I,II,8,0,1,0.5
18,Resolución Individual,18.0,F,0,V,C,VC,1,1,1,0.5
18,Resolución Individual,18.0,F,0,V,I,VI,2,1,1,0.5
18,Resolución Individual,18.0,F,0,I,C,IC,3,1,0,0.5
18,Resolución Individual,18.0,F,0,I,I,II,4,0,1,0.5
